Action;Path;Allowed Roles;API Endpoint;Notes
Participation Report (FR-RPT.03);/sa/report-participation;StudentAffairs;GET /api/sa/participation;Thuộc SA. Đã loại bỏ khỏi /dept
Eligibility Rules & List;/sa/eligibility;StudentAffairs;GET/PUT /api/sa/eligibility;SA cấu hình luật; export danh sách
SA Exports;/sa/export;StudentAffairs;POST /api/exports;Chỉ export báo cáo nghiệp vụ SA; audit required
Departmental Report;/dept/reports;DepartmentChair;GET /api/dept/reports;Báo cáo chất lượng khoa (FR-RPT.01)
Dept Exports;/dept/export-buttons;DepartmentChair;POST /api/exports;Chỉ export báo cáo khoa
RBAC Management;/admin/rbac;ProgramAdmin;GET/POST/PUT/DELETE /api/admin/users;Tuyệt đối cấm Coordinator
Integrations;/admin/integrations;ProgramAdmin;GET/POST /api/admin/integrations;Kết nối kỹ thuật
System Tasks;/admin/system-tasks;ProgramAdmin;POST /api/admin/tasks;Backup, Cleanup
Audit Logs;/admin/audit;ProgramAdmin;GET /api/admin/audit;Audit và export giới hạn
Manual Match / Conflicts / Pending Assign;/coord/manual-match;/coord/conflicts;/coord/pending-assign;Coordinator;POST/GET /api/coord/*;Vận hành; xử lý ngoại lệ
Student Requests;/coord/student-requests;Coordinator;GET/POST /api/coord/requests;Xử lý request của SV
Tutors / Availability;/coord/tutors;Coordinator;GET /api/coord/tutors;Giám sát availability
Feedback Issues (flags);/coord/feedback-issues;Coordinator;GET /api/feedback/flags;Coord xử lý flags; DeptChair xem tổng hợp
Dept Feedback Dashboard;/dept/feedback/dashboard;DepartmentChair;GET /api/dept/feedback/summary;DeptChair xem báo cáo tổng hợp feedback
Admin Exports (system);/admin/exports;ProgramAdmin;POST /api/exports;Chỉ Admin export hệ thống
